studentNumber,studentName,StudentEmail
202313421,Claybourne Zuppa,ClaybourneZuppa@cvsu.edu.ph
202330361,Lenka Vahey,LenkaVahey@cvsu.edu.ph
202388854,Kippy Leworthy,KippyLeworthy@cvsu.edu.ph
202356458,Shaylyn Offield,ShaylynOffield@cvsu.edu.ph
202368508,Luciana Kisar,LucianaKisar@cvsu.edu.ph
202324451,Valentino Petren,ValentinoPetren@cvsu.edu.ph
202317703,Sheffy Copland,SheffyCopland@cvsu.edu.ph
202359039,Gwendolyn Moffett,GwendolynMoffett@cvsu.edu.ph
202369396,Jacobo Peat,JacoboPeat@cvsu.edu.ph
202319228,Farleigh Lehrmann,FarleighLehrmann@cvsu.edu.ph
202387296,Franchot Olivetta,FranchotOlivetta@cvsu.edu.ph
202383853,Sandro Belton,SandroBelton@cvsu.edu.ph
202337961,Kym Olivey,KymOlivey@cvsu.edu.ph
202366313,Tamqrah Filipov,TamqrahFilipov@cvsu.edu.ph
202338346,Gisella Linnit,GisellaLinnit@cvsu.edu.ph
202338021,Munroe Linbohm,MunroeLinbohm@cvsu.edu.ph
202343917,Etty Gyurko,EttyGyurko@cvsu.edu.ph
202398616,Dacy Dutt,DacyDutt@cvsu.edu.ph
202357680,Randa Saing,RandaSaing@cvsu.edu.ph
202394407,Kirsti Domke,KirstiDomke@cvsu.edu.ph
202384481,Florian Diperaus,FlorianDiperaus@cvsu.edu.ph
202359231,Donovan Norquoy,DonovanNorquoy@cvsu.edu.ph
202399693,Misti Kingstne,MistiKingstne@cvsu.edu.ph
202327262,Joane Loughman,JoaneLoughman@cvsu.edu.ph
202305749,Greg Dallicott,GregDallicott@cvsu.edu.ph
202380915,Perle Cottis,PerleCottis@cvsu.edu.ph
202305923,Guillaume Spavon,GuillaumeSpavon@cvsu.edu.ph
202362365,Drusie Voaden,DrusieVoaden@cvsu.edu.ph
202350353,Pasquale Monnery,PasqualeMonnery@cvsu.edu.ph
202342796,Winny Cellone,WinnyCellone@cvsu.edu.ph
202312243,Woodie Roussel,WoodieRoussel@cvsu.edu.ph
202367794,Barbra Farrans,BarbraFarrans@cvsu.edu.ph
202382479,Demott Waylett,DemottWaylett@cvsu.edu.ph
202398819,Dexter McGinly,DexterMcGinly@cvsu.edu.ph
202363776,Carri Human,CarriHuman@cvsu.edu.ph
202338294,Amberly Belchambers,AmberlyBelchambers@cvsu.edu.ph
202366506,Persis Pettit,PersisPettit@cvsu.edu.ph
202329429,Mae Heinsius,MaeHeinsius@cvsu.edu.ph
202332574,Windham Laise,WindhamLaise@cvsu.edu.ph
202354925,Hildagard Kilbride,HildagardKilbride@cvsu.edu.ph
202386753,Terese Vockins,TereseVockins@cvsu.edu.ph
202313123,Idell Brixham,IdellBrixham@cvsu.edu.ph
202392352,Adolph Petrolli,AdolphPetrolli@cvsu.edu.ph
202304540,Orv Keysel,OrvKeysel@cvsu.edu.ph
202319928,Ellis Mordie,EllisMordie@cvsu.edu.ph
202351038,Kalle Anglish,KalleAnglish@cvsu.edu.ph
202376737,Bondon Skene,BondonSkene@cvsu.edu.ph
202368340,Jana Sancroft,JanaSancroft@cvsu.edu.ph
202334031,Ash Miko,AshMiko@cvsu.edu.ph
202393345,Janela Cessford,JanelaCessford@cvsu.edu.ph
202308627,Carley Goseling,CarleyGoseling@cvsu.edu.ph
202367674,Harbert Orth,HarbertOrth@cvsu.edu.ph
202398458,Jodie Applegate,JodieApplegate@cvsu.edu.ph
202361404,Annabelle Dance,AnnabelleDance@cvsu.edu.ph
202392236,Raddy Cardozo,RaddyCardozo@cvsu.edu.ph
