studentNumber,studentName,StudentEmail
202374735,Gracia Agirre,GraciaAgirre@cvsu.edu.ph
202313333,Clayborn Wholesworth,ClaybornWholesworth@cvsu.edu.ph
202327803,Jozef Kesley,JozefKesley@cvsu.edu.ph
202322776,Ronna Dicke,RonnaDicke@cvsu.edu.ph
202374288,Easter Tremellier,EasterTremellier@cvsu.edu.ph
202307505,Brand Jennins,BrandJennins@cvsu.edu.ph
202399705,Gabe Parbrook,GabeParbrook@cvsu.edu.ph
202357843,Spike Dullard,SpikeDullard@cvsu.edu.ph
202301695,Stanton Kurtis,StantonKurtis@cvsu.edu.ph
202335741,Rasla Michael,RaslaMichael@cvsu.edu.ph
202346909,Patti Shadrach,PattiShadrach@cvsu.edu.ph
202380419,Herculie Jurkiewicz,HerculieJurkiewicz@cvsu.edu.ph
202348094,Opal Waszczyk,OpalWaszczyk@cvsu.edu.ph
202345085,Elwin Oppy,ElwinOppy@cvsu.edu.ph
202352009,Creigh Morriarty,CreighMorriarty@cvsu.edu.ph
202397712,Joice Rodders,JoiceRodders@cvsu.edu.ph
202381319,Alice Dingle,AliceDingle@cvsu.edu.ph
202382246,Marybeth Taig,MarybethTaig@cvsu.edu.ph
202376675,Ransell Planque,RansellPlanque@cvsu.edu.ph
202305701,Donal Blayney,DonalBlayney@cvsu.edu.ph
202374492,Park Roff,ParkRoff@cvsu.edu.ph
202318523,Elnore Cubbon,ElnoreCubbon@cvsu.edu.ph
202370783,Keven Bauckham,KevenBauckham@cvsu.edu.ph
202357748,Loretta Yele,LorettaYele@cvsu.edu.ph
202333163,Falito Tolcharde,FalitoTolcharde@cvsu.edu.ph
202330774,Eimile Goulder,EimileGoulder@cvsu.edu.ph
202338576,Ashbey Domb,AshbeyDomb@cvsu.edu.ph
202307265,Frederik Starr,FrederikStarr@cvsu.edu.ph
202305376,Harwilll Weymont,HarwilllWeymont@cvsu.edu.ph
202388441,Minda Libri,MindaLibri@cvsu.edu.ph
202364028,Ryon Bartkowiak,RyonBartkowiak@cvsu.edu.ph
202386832,Lionello Peartree,LionelloPeartree@cvsu.edu.ph
202365558,Leicester Sinfield,LeicesterSinfield@cvsu.edu.ph
202366866,Mitchell Bernier,MitchellBernier@cvsu.edu.ph
202361557,Darrel Denis,DarrelDenis@cvsu.edu.ph
202398159,Orsola Crisp,OrsolaCrisp@cvsu.edu.ph
202303935,Caressa Readings,CaressaReadings@cvsu.edu.ph
202351084,Teodorico Seedull,TeodoricoSeedull@cvsu.edu.ph
202316345,Kelci Chowne,KelciChowne@cvsu.edu.ph
202336486,Jillene Rorke,JilleneRorke@cvsu.edu.ph
202336872,Marsiella Guerin,MarsiellaGuerin@cvsu.edu.ph
202347044,Creighton Suffield,CreightonSuffield@cvsu.edu.ph
202314766,Emmet Denes,EmmetDenes@cvsu.edu.ph
202337628,Melodie Stellino,MelodieStellino@cvsu.edu.ph
202374853,Jojo Klainman,JojoKlainman@cvsu.edu.ph
202396412,Mohandis Lemoir,MohandisLemoir@cvsu.edu.ph
202389551,Godard Joskowitz,GodardJoskowitz@cvsu.edu.ph
202390584,Phaidra Haselup,PhaidraHaselup@cvsu.edu.ph
202399255,Buckie Shippam,BuckieShippam@cvsu.edu.ph
202308109,Wallace Willman,WallaceWillman@cvsu.edu.ph
202385075,Edmund Belchamber,EdmundBelchamber@cvsu.edu.ph
202310172,Dunc Wilshaw,DuncWilshaw@cvsu.edu.ph
202327205,Celka Booy,CelkaBooy@cvsu.edu.ph
202379695,Ivan Mabbs,IvanMabbs@cvsu.edu.ph
202377783,Traver Winchester,TraverWinchester@cvsu.edu.ph
202385884,Mary Moar,MaryMoar@cvsu.edu.ph
202373744,Ingrid Dodimead,IngridDodimead@cvsu.edu.ph
202347843,Marjorie Yurov,MarjorieYurov@cvsu.edu.ph
202398977,Vonni Capnor,VonniCapnor@cvsu.edu.ph
202353294,Valry Saltmarshe,ValrySaltmarshe@cvsu.edu.ph
202355534,Crystal Troup,CrystalTroup@cvsu.edu.ph
202363958,Tonnie Chadburn,TonnieChadburn@cvsu.edu.ph
202327296,Cirilo Flewett,CiriloFlewett@cvsu.edu.ph
202311756,Leola Pieche,LeolaPieche@cvsu.edu.ph
